Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-003, September 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-004, October 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-005, October 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-006, October 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-007, October 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-008, November 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-009, November 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-010, December 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-011, December 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-012, December 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-001, [Electronic Mail Messages] [Various Topics].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-002, NSC-[Background Articles] [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-003, NSC-[Background Articles] [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-004, NSC-[Background Articles] [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-005, NSC-[Background Articles] [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-006, [Binder: NSC Background Materials] [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-007, [Binder: NSC Background Materials] [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-008, [Miscellaneous Articles on History and Organization of the NSC] [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-009, [Miscellaneous Articles on History and Organization of the NSC] [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-010, [Miscellaneous Articles on History and Organization of the NSC] [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-011, [Miscellaneous Articles on History and Organization of the NSC] [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-012, [Miscellaneous Articles on History and Organization of the NSC] [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-013, [Miscellaneous Articles on History and Organization of the NSC] [6].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-014, [Miscellaneous Articles on History and Organization of the NSC] [7].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, OA/ID CF01661-015, [Miscellaneous Articles on History and Organization of the NSC] [8].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-001, Foreign Availability [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-002, Foreign Availability [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-003, Foreign Availability [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-004, Foreign Availability [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-005, Foreign Availability [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-006, Foreign Availability [6].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-007, Forests (R. Barth) 1992.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-008, GDR [German Democratic Republic] Policy.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-009, Global Change.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-010, GOSSAT [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-011, GOSSAT [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-012, ICT.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-013, ITER (International Thermonuclear Experimental Reactor).
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-014, JAE (Japan Aviation Electronics).
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-015, Korea.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-016, LTV.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-017, Machine Tools [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-018, Machine Tools [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-019, Machine Tools [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-020, Machine Tools [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-021, Munitions [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-022, Munitions [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-023, Munitions [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-024, Munitions [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-025, Munitions [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-026, Munitions [6].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-027, Munitions [7].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-028, Munitions [8].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-029, Munitions [9].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-030, Munitions [10].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00956-031, MTCR [Missile Technology Control Regime].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-001, Arctic.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-002, CBW [Chemical/Biological Weapons].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-003, Cape York.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-004, CASTAR [Soviet Technology].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-005, Competitiveness.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-006, Control Data.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-007, Core List [COCOM-Coordinating Committee for Multilateral Export Controls] [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-008, Core List [COCOM-Coordinating Committee for Multilateral Export Controls] [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-009, Core List [COCOM-Coordinating Committee for Multilateral Export Controls] [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-010, Core List [COCOM-Coordinating Committee for Multilateral Export Controls] [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-011, Critical Technologies Institute (CII).
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-012, EPCI [Enhanced Proliferation Control Initiative].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-013, Starbase [Export Control].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-014, Nuclear Export Control.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Subject Files, OA/ID CF00957-015, OMC Study [Export Control].
